layer,target,probe_type,score,cv_score,ci_lower,ci_upper,train_size,test_size
14,doc_length_bucket,logistic,0.995303,0.996627,0.992819,0.99731,4800,1200
14,is_relevant,logistic,0.930247,0.916894,0.90394,0.953094,4800,1200
14,relevance_label,ridge,0.12052,-1.178188,-0.002699,0.196417,4800,1200
15,lexical_overlap,ridge,0.40335,0.315355,0.351633,0.445986,4800,1200
15,query_term_freq,ridge,0.420703,0.342112,0.376726,0.460064,4800,1200
15,bm25_score,ridge,0.690057,0.648811,0.658583,0.715789,4800,1200
15,bm25_rank,ridge,0.021455,-0.168778,-0.030746,0.071986,4800,1200
15,doc_length_bucket,logistic,0.996086,0.995113,0.994029,0.997852,4800,1200
15,is_relevant,logistic,0.954822,0.939734,0.933758,0.974175,4800,1200
15,relevance_label,ridge,0.187061,-0.135882,0.066445,0.266832,4800,1200
16,lexical_overlap,ridge,0.41259,0.053827,0.367962,0.451292,4800,1200
16,query_term_freq,ridge,0.424704,-0.580327,0.382088,0.463031,4800,1200
16,bm25_score,ridge,0.70426,0.385491,0.675232,0.729296,4800,1200
16,bm25_rank,ridge,0.049325,0.031334,-0.003789,0.100135,4800,1200
16,doc_length_bucket,logistic,0.996517,0.994279,0.994484,0.998008,4800,1200
16,is_relevant,logistic,0.964698,0.948595,0.940285,0.982602,4800,1200
16,relevance_label,ridge,0.240946,0.227705,0.118699,0.335063,4800,1200
17,lexical_overlap,ridge,0.426215,0.369674,0.377971,0.467166,4800,1200
17,query_term_freq,ridge,0.425789,0.245635,0.380232,0.467787,4800,1200
17,bm25_score,ridge,0.714748,0.290169,0.683669,0.739628,4800,1200
17,bm25_rank,ridge,0.069351,0.01659,0.021012,0.119188,4800,1200
17,doc_length_bucket,logistic,0.994297,0.992168,0.991464,0.996444,4800,1200
17,is_relevant,logistic,0.970921,0.952409,0.953534,0.984128,4800,1200
17,relevance_label,ridge,0.281314,0.325032,0.13956,0.386626,4800,1200
18,lexical_overlap,ridge,0.422974,0.248449,0.376552,0.466251,4800,1200
18,query_term_freq,ridge,0.394949,0.279256,0.346793,0.44133,4800,1200
18,bm25_score,ridge,0.70706,0.520502,0.676987,0.73493,4800,1200
18,bm25_rank,ridge,0.036172,0.051936,-0.019866,0.092553,4800,1200
18,doc_length_bucket,logistic,0.994142,0.992496,0.991253,0.996629,4800,1200
18,is_relevant,logistic,0.969875,0.956533,0.954725,0.984059,4800,1200
18,relevance_label,ridge,0.300582,0.244609,0.167053,0.408562,4800,1200
19,lexical_overlap,ridge,0.437351,0.234036,0.390932,0.477808,4800,1200
19,query_term_freq,ridge,0.420318,0.314507,0.376422,0.46427,4800,1200
19,bm25_score,ridge,0.7022,0.679839,0.668909,0.72965,4800,1200
19,bm25_rank,ridge,0.053221,0.022075,-0.006329,0.102947,4800,1200
19,doc_length_bucket,logistic,0.992916,0.991736,0.989375,0.995746,4800,1200
19,is_relevant,logistic,0.970283,0.956705,0.955507,0.983368,4800,1200
19,relevance_label,ridge,0.302207,0.223266,0.165716,0.409007,4800,1200
20,lexical_overlap,ridge,0.427054,0.32521,0.376219,0.471638,4800,1200
20,query_term_freq,ridge,0.446557,0.407922,0.398486,0.490888,4800,1200
20,bm25_score,ridge,0.709822,0.677474,0.677433,0.73708,4800,1200
20,bm25_rank,ridge,0.065899,0.03471,0.016254,0.114984,4800,1200
20,doc_length_bucket,logistic,0.992711,0.989851,0.989169,0.995594,4800,1200
20,is_relevant,logistic,0.969592,0.953102,0.953779,0.982993,4800,1200
20,relevance_label,ridge,0.28238,0.319341,0.127838,0.392173,4800,1200
21,lexical_overlap,ridge,0.41901,0.355704,0.374212,0.460063,4800,1200
21,query_term_freq,ridge,0.391814,0.337582,0.342059,0.440165,4800,1200
21,bm25_score,ridge,0.698578,0.650316,0.666719,0.725138,4800,1200
21,bm25_rank,ridge,0.068765,0.050513,0.019863,0.114574,4800,1200
21,doc_length_bucket,logistic,0.991394,0.989864,0.987581,0.9946,4800,1200
21,is_relevant,logistic,0.967677,0.952948,0.949689,0.981845,4800,1200
